,s3ic_id,rubrique,regime,alinea,date_autorisation,state,regime_acte,alinea_acte,rubrique_acte,activite,volume,unit
0,0065.00005,47xx,,,,En fonctionnement,,,47xx,,,
1,0065.00005,2260,D,b,2007-07-20,En fonctionnement,D,2b,2260,Supérieure à 100 kW mais inférieure ou égale à 500 kW,260.000,kW
2,0065.00005,2175,D,,2007-04-20,En fonctionnement,,,2175,Dépôts d'engrais liquides,90.000,m3
4,0065.00005,4510,,,2007-04-20,En fonctionnement,,,4510,Dangereux pour l’environnement aquatique 1,,
5,0065.00005,2160,A,a,2008-02-20,En fonctionnement,A,2a,2160,Silos autres que plats autorisés,39280.000,m3
6,0065.00037,2521,E,1,2008-01-09,En fonctionnement,A,1,2521,Centrale d'enrobage à chaud,110.000,t/h
7,0065.00037,2515,D,b,2008-01-09,En fonctionnement,D,2,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",92.000,kW
8,0065.00037,2915,D,2,2008-01-09,En fonctionnement,D,2,2915,Chauffage (procédé de) fluide caloporteur organique combustible,2000.000,L
9,0065.00037,2517,,,2008-01-09,En fonctionnement,,,2517,Station de transit de produits minéraux autres,5000.000,m3
10,0065.00037,2516,,,2008-01-09,En fonctionnement,,,2516,Station de transit de produits minéraux pulvérulents,3000.000,m3
11,0065.00037,47xx,,,,En fonctionnement,,,47xx,,,
12,0065.00037,4801,D,2,2008-01-09,En fonctionnement,D,2,4801,"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses",,
13,0065.00037,1435,,,2008-01-09,En fonctionnement,,,1435,Stations service,148.000,m3
14,0065.00037,2930,,,2008-01-09,En fonctionnement,,,2930,Ateliers de réparation et d'entretien de véhicules à moteurs,300.000,m2
15,0065.00049,4511,,,,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
16,0065.00049,4440,A,1,,En fonctionnement,A,1,4440,"Solides comburants catégorie 1,2 ou 3",,
17,0065.00049,2575,D,,2000-03-02,En fonctionnement,D,,2575,Emploi de matières abrasives,6.000,kW
18,0065.00049,4510,D,2,,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
19,0065.00049,47xx,,,,En fonctionnement,,,47xx,,,
22,0065.00049,2910,D,2,2008-06-24,En fonctionnement,D,A2,2910,Combustion,5.200,MW
23,0065.00049,3330,A,,,En fonctionnement,A,,3330,Fabrication du verre,290.000,t/j
24,0065.00049,4120,D,b,,En fonctionnement,D,b,4120,Toxicité aiguë catégorie 2,,
25,0065.00049,2530,A,2a,2016-11-04,En fonctionnement,A,2a,2530,Verre (fabrication et travail du),290.000,t/j
26,0065.00049,1200,A,2b,2000-03-02,En fonctionnement,A,2b,1200,"Comburants (fabrication, emploi, stockage)",70.000,t
27,0065.00049,2570,,,,En fonctionnement,,,2570,Email,6.300,kg/j
28,0065.00049,2921,E,a,2014-05-16,En fonctionnement,E,a,2921,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,10203.000,kW
29,0065.00049,2570,D,2,,En fonctionnement,D,2,2570,Email,6.300,kg/j
30,0065.00049,1185,D,,,En fonctionnement,D,b,4802,Quantité susceptible d'être présente,,
31,0065.00049,2715,D,,2018-07-16,En fonctionnement,D,,2715,"Transit, regroupement ou tri de déchets non dangereux de verre",750.000,m3
32,0065.00049,2560,,,2006-02-10,En fonctionnement,,,2560,Travail mécanique des métaux et alliages,137.230,kW
34,0065.00049,2925,D,1,2006-02-10,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,15.780,kW
35,0065.00049,1432,,,2008-06-24,En fonctionnement,,,1432,Liquides inflammables (stockage),35.000,m3
36,0065.00049,1530,D,2,,En fonctionnement,D,3,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",1100.000,m3
37,0065.00049,1185,,2,,En fonctionnement,,2,4802,,,
38,0065.00049,1418,,,2008-06-24,En fonctionnement,,,1418,Acétylène (stockage ou emploi),90.000,kg
39,0065.00049,1132,D,B1b,2012-09-26,En fonctionnement,D,B1b,1132,"Supérieure ou égale à 5 t, mais inférieure à 50 t",40.000,t
40,0065.00049,1173,,,2010-01-12,En fonctionnement,,,1173,DANGEREUX POUR L'ENVIRONNEMENT - TOXIQUES (STOCKAGE ET EMPLOI),2.000,
41,0065.00049,4510,D,2,2006-04-11,En fonctionnement,D,3,1172,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
42,0065.00049,1151,,7a,2008-06-24,En fonctionnement,,7a,1151,"Acide arsénique et ses sels, pentoxyde d'arsenic",48.400,t
43,0065.00049,1151,,3a,2006-02-10,En fonctionnement,,3a,1151,Substances et mélanges particuliers (emploi ou stockage de ou à base de),250.000,kg
44,0065.00049,2524,D,,2008-06-24,En fonctionnement,D,,2524,"Taillage, sciage et polissage de minéraux naturels ou artificiels",51.000,kW
45,0065.00049,1532,D,b,2008-06-24,En fonctionnement,D,2,1532,Stockage bois déclaré,1400.000,m3
46,0065.00049,2515,D,b,2008-06-24,En fonctionnement,D,2,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",84.000,kW
47,0065.00055,4510,D,2,2010-04-19,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
48,0065.00055,2530,A,2a,2010-04-19,En fonctionnement,A,2a,2530,Verre (fabrication et travail du),31000.000,kg/j
49,0065.00055,47xx,,,,En fonctionnement,,,47xx,,,
