rubrique,regime,department,count
211,,51,9
253,Autorisation,51,12
261BIS,Autorisation,51,6
361,,51,14
322,Autorisation,33,90
322,Autorisation,12,26
286,Autorisation,34,18
322,Autorisation,34,22
2925,,59,370
167,Autorisation,59,69
286,Autorisation,59,92
2910,Autorisation,59,61
1432,,02,29
1433,Autorisation,02,7
1530,,02,37
1720,,02,4
1720,Inconnu,02,3
2440,Autorisation,02,3
2910,,02,82
2920,,02,47
2925,,02,90
1432,Inconnu,60,39
1530,Inconnu,60,32
2661,Enregistrement,60,9
2663,,60,23
2910,Inconnu,60,53
2920,Inconnu,60,26
2921,,60,27
2925,,60,107
1111,,80,7
1131,,80,12
2531,Autorisation,80,2
329,Autorisation,22,7
2517,Enregistrement,22,4
2521,Autorisation,22,31
2915,,22,18
4734,,22,10
4801,,22,2
2102,Enregistrement,35,78
286,Autorisation,56,24
68,,56,5
211,,53,4
2565,Autorisation,53,15
2661,,53,12
2662,,53,19
2910,,53,47
2920,Autorisation,53,21
2940,,53,16
2560,,53,15
2925,,53,31
405,,53,7
406,,53,4
153BIS,Autorisation,72,7
89,,72,1
2102,Autorisation,85,4
1510,Enregistrement,77,92
183TER,,77,10
211,Inconnu,77,4
253,,77,48
361,,77,42
4511,,77,7
2712,Enregistrement,93,3
286,Autorisation,93,23
2515,Autorisation,2B,3
286,Autorisation,13,75
2712,Enregistrement,13,21
2552,Autorisation,83,2
286,Autorisation,83,20
2714,,83,5
2716,,83,6
2780,Enregistrement,83,2
2780,,83,2
2791,,83,2
167,Autorisation,18,20
2260,Autorisation,18,10
2662,Autorisation,18,7
98BIS,,18,7
2560,,37,14
2565,,37,12
2575,,37,17
2661,Inconnu,37,4
2925,,37,74
2940,,37,25
1131,Inconnu,41,13
1172,Inconnu,41,7
1412,Inconnu,41,20
1418,Inconnu,41,27
2560,,41,17
2564,Autorisation,41,5
2565,Autorisation,41,29
2910,Inconnu,41,28
2920,Inconnu,41,21
405,,41,9
1520,,41,5
2515,,41,12
2521,Autorisation,41,3
2910,,41,43
2915,,41,8
120,,41,2
153BIS,,41,2
272BIS,,41,3
355,,41,8
361,,41,5
67,,41,3
81,Autorisation,41,1
81BIS,,41,2
2712,Enregistrement,41,19
1180,,45,21
1412,Inconnu,45,26
1434,Inconnu,45,16
1530,,45,36
1532,,45,11
2410,Enregistrement,45,2
2910,,45,81
2920,Inconnu,45,27
286,Autorisation,27,39
286,Autorisation,76,62
1431,Autorisation,76,12
1432,Inconnu,76,56
1435,,76,10
2515,Enregistrement,76,6
