rubriques,years,departments,occurrences
211,1990,51,2
253,1990,51,9
261BIS,1990,51,5
361,1990,51,3
322,1973,33,2
322,1979,12,2
286,1814,34,3
322,1814,34,6
2925,1814,59,58
167,1997,59,2
286,1991,59,1
2910,1997,59,16
1432,2005,02,3
1433,2005,02,3
1530,2005,02,5
1720,2005,02,2
2440,2005,02,1
2910,2005,02,4
2920,2005,02,4
2925,2005,02,8
1432,2011,60,9
1530,2011,60,6
2661,2011,60,3
2663,2011,60,4
2910,2003,60,9
2920,2003,60,2
2921,2003,60,3
2925,2011,60,6
1111,1999,80,1
1131,1999,80,1
2531,1999,80,1
329,1960,22,1
2517,2006,22,3
2521,2006,22,4
2915,2006,22,4
4734,2006,22,2
4801,2006,22,1
2102,2017,35,10
286,1988,56,2
68,1988,56,1
211,1997,53,1
2565,1997,53,1
2661,1997,53,2
2662,1997,53,2
2910,1997,53,2
2920,1997,53,2
2940,1997,53,2
211,1995,53,1
2560,1995,53,2
2925,1995,53,1
2940,1995,53,1
405,1995,53,2
406,1995,53,2
2910,2016,53,2
153BIS,1989,72,1
89,1989,72,1
2102,2013,85,3
1510,2015,77,8
183TER,1989,77,7
211,1974,77,1
253,1972,77,2
361,1992,77,5
4511,2015,77,4
2712,1814,93,2
286,1814,93,5
2515,2010,2B,1
286,1990,13,3
2712,2020,13,1
2552,2002,83,1
286,1980,83,1
2714,2013,83,1
2716,2013,83,1
2780,2016,83,1
2780,2013,83,1
2791,2013,83,1
167,1996,18,1
2260,1996,18,1
2662,1996,18,2
98BIS,1996,18,1
2560,2011,37,1
2565,2011,37,2
2575,1994,37,1
2661,1994,37,2
2925,1994,37,3
2940,2011,37,3
1131,2010,41,4
1172,2010,41,3
1412,2010,41,4
1418,2010,41,3
2560,2010,41,3
2564,2002,41,2
2565,2010,41,3
2910,2010,41,5
2920,2010,41,5
405,1966,41,1
405,1965,41,1
1520,1999,41,2
2515,1999,41,1
2521,1999,41,1
2910,1999,41,9
2915,1999,41,2
120,1979,41,1
153BIS,1979,41,1
272BIS,1979,41,1
355,1986,41,3
361,1979,41,1
67,1979,41,1
81,1979,41,1
81BIS,1979,41,1
2712,2019,41,3
1180,2000,45,1
1412,2000,45,1
1434,2000,45,3
1530,2000,45,1
1532,1814,45,3
1532,2000,45,1
2410,2000,45,1
2910,2000,45,6
2920,2000,45,4
286,1814,27,7
286,1814,76,12
1431,2009,76,2
1432,2009,76,13
1435,2009,76,1
2515,2009,76,4
2517,2009,76,2
2925,2009,76,6
2930,2009,76,2
1434,2001,21,3
2515,2001,21,5
2517,2001,21,1
2521,2001,21,5
253,2001,21,2
2910,2001,21,8
2915,2001,21,4
2920,2001,21,7
2760,2009,21,3
1434,2005,71,2
2565,2005,71,2
2575,2005,71,1
2920,2005,71,9
2940,2005,71,6
286,1974,71,2
322,2002,89,1
182BIS,1992,89,1
376BIS,1992,89,1
286,1981,25,4
1520,1996,39,2
2521,1996,39,2
253,1996,39,3
2910,1996,39,2
2915,1996,39,2
2260,1814,70,2
2515,2001,01,1
2517,2001,01,2
322,2004,07,1
1185,1814,38,5
167,1814,38,10
1180,2007,38,2
1432,2007,38,10
1434,2007,38,5
1510,2007,38,3
2910,2007,38,11
2920,2007,38,13
2925,2007,38,8
153BIS,1988,42,1
251,1988,42,1
253,1988,42,2
355,1988,42,1
395,1988,42,1
79,1988,42,1
2515,1994,42,3
1530,2000,74,3
1531,2001,74,5
2410,2000,74,5
2415,2000,74,5
1432,2010,63,1
1434,2010,63,1
1510,2010,63,2
1530,2010,63,2
2920,2010,63,3
2925,2010,63,2
1510,2011,63,1
2925,2011,63,2
286,1990,67,1
2565,2008,68,4
120,1980,68,1
153BIS,1980,68,1
183BIS,1980,68,1
217,1980,68,1
2515,1980,68,1
2517,1980,68,1
2565,2015,68,3
2510,1995,54,4
2713,2010,55,2
286,1974,55,1
2221,1814,57,5
1432,2012,57,7
1532,2012,57,2
2564,2012,57,2
2712,2012,57,8
2714,2012,57,6
2925,2012,57,1
1180,1998,88,1
211,1998,88,2
2552,1998,88,1
2560,1998,88,2
2565,1998,88,3
2575,1998,88,2
2920,1998,88,7
2940,1998,88,5
1412,2001,88,1
2661,2001,88,7
2920,2001,88,9
286,1985,24,1
2510,2005,24,4
286,1990,33,1
2510,1987,33,3
2910,2010,33,19
2920,1999,33,5
2160,1995,40,1
2260,1995,40,1
1185,2013,40,2
1432,2008,40,11
2910,2008,40,14
2910,2017,40,4
2920,2017,40,1
2920,2008,40,11
2925,2008,40,8
2925,2017,40,1
4718,2017,40,1
4734,2017,40,2
4802,2017,40,3
2920,2010,64,4
268BIS,1995,17,1
2710,2020,17,2
2794,2020,17,1
1175,1992,46,1
1180,1986,46,2
1212,1992,46,2
1432,1992,46,1
2560,1992,46,1
2565,1992,46,1
2921,2004,46,6
2940,1992,46,1
2510,1975,81,1
1510,2007,81,2
1511,2015,81,1
2910,2007,81,5
2920,2007,81,11
2925,2007,81,2
4802,2015,81,1
2102,1979,11,2
2160,1814,30,2
2260,1814,30,4
2910,1814,30,13
2515,1994,34,3
1432,2010,59,20
2910,2010,59,24
2920,2010,59,17
2910,2000,62,12
2111,1996,02,4
2120,1996,02,1
2510,1994,02,1
120,1814,02,1
153BIS,1814,02,3
2560,1925,02,1
281,1814,02,1
6,1925,02,1
2220,1994,60,2
2925,1994,60,3
1520,1814,60,2
2515,1814,60,5
2521,1814,60,2
2910,1814,60,9
2915,1814,60,2
153,1984,80,1
253,1984,80,3
395,1984,80,1
81BIS,1984,80,1
2102,2019,29,43
2510,1992,35,3
2760,2011,35,5
183BIS,1814,35,2
1435,2013,35,3
2712,2010,35,5
2713,2013,35,5
2714,2010,35,4
2716,2010,35,2
2791,2010,35,6
2710,1998,35,5
2102,2015,35,31
2515,1977,44,2
2517,1977,44,1
2521,1977,44,1
2915,1977,44,1
4801,1977,44,1
1432,1996,44,4
1434,1996,44,2
253,1977,49,1
261BIS,1977,49,1
2930,1999,49,1
2710,1999,49,6
2710,2013,49,76
1432,2001,53,3
1434,2001,53,3
1520,2001,53,1
2521,2001,53,1
2915,2001,53,1
2712,1986,72,1
286,1968,77,1
81,1974,77,1
2710,2013,91,25
2710,2003,91,6
2711,2013,91,14
2716,2016,94,1
281,1975,95,2
2920,1814,06,1
2921,1814,06,3
2712,2010,13,1
286,1978,13,1
1432,2006,13,9
1432,1814,13,52
1434,1814,13,28
1435,1814,13,7
1520,2009,13,2
2171,2009,13,1
2220,2009,13,1
2221,2009,13,1
2230,2009,13,1
2255,2009,13,1
2560,2009,13,2
2663,2009,13,1
2731,2009,13,1
2910,2009,13,10
2920,2009,13,8
2925,2009,13,4
2920,2010,83,4
2251,1814,83,5
1412,1998,84,1
1414,1998,84,1
2663,2016,84,7
2910,1998,84,1
2940,1998,84,1
4718,2016,84,3
4802,2016,84,5
2410,2000,84,2
2415,2000,84,1
322,1984,28,1
2712,2012,84,3
286,2006,84,1
2560,1997,18,1
2565,1997,18,1
2575,1997,18,1
2910,1997,18,1
2920,1997,18,1
2940,1997,18,2
2160,1987,18,1
2160,2015,18,5
2260,1987,18,1
2260,2015,18,3
2910,1987,18,1
2910,2015,18,9
4331,2018,18,7
4510,2018,18,6
4511,2018,18,5
4734,2018,18,6
1131,1814,18,5
1432,1814,18,9
1433,1814,18,3
1530,1814,18,6
2515,1814,18,2
258,1814,18,1
2640,1814,18,1
2662,1814,18,5
2515,1997,36,2
2521,1997,36,1
2910,1997,36,7
2915,1997,36,2
1434,1998,36,3
1520,1998,36,2
2515,1998,36,2
2521,1998,36,2
253,1998,36,3
2910,1998,36,3
2915,1998,36,2
2920,1998,36,3
253,1814,36,7
1530,1814,36,5
2663,1814,36,3
286,1814,36,3
322,1814,36,6
329,1814,36,4
98,1814,36,1
1136,2015,37,1
1185,2004,37,1
1412,2004,37,2
1432,2004,37,4
1434,2004,37,2
1510,2004,37,1
1510,2015,37,5
1511,2015,37,1
1532,2015,37,2
2255,2015,37,1
2714,2015,37,4
2718,2015,37,4
2910,2015,37,6
2920,2004,37,9
2921,2015,37,1
2925,2015,37,4
1180,2003,37,3
1412,2003,37,2
2221,2003,37,2
2910,2003,37,10
2920,2003,37,13
1111,2008,41,3
1131,2008,41,5
1172,2008,41,2
1173,2008,41,3
1200,1814,41,2
1220,2008,41,4
1412,2008,41,4
1418,2008,41,4
1432,1814,41,7
1530,2008,41,5
1611,2008,41,2
1612,1997,41,1
1630,2008,41,1
2560,2008,41,3
2565,2008,41,4
2575,2008,41,3
2640,2008,41,3
2910,2008,41,6
2920,2008,41,6
2925,2008,41,7
3260,2013,41,2
1412,2001,41,3
1434,2001,41,1
1530,2001,41,3
2210,2001,41,1
2221,2001,41,1
2662,2001,41,3
2920,2001,41,5
2760,2009,67,1
2760,2007,67,5
2910,2019,67,10
1435,2020,67,3
1510,2018,67,5
1530,2018,67,2
1532,2017,67,4
2662,2018,67,6
2663,2018,67,4
2925,2017,67,1
4320,2017,67,1
2661,2018,67,6
2781,2019,67,2
4310,2019,67,2
2111,2018,67,1
2251,2019,67,1
2712,2019,67,1
2760,2019,67,4
1131,2002,24,1
2410,2002,24,2
2940,2002,24,2
2710,2020,67,6
2910,2020,67,7
2510,1814,67,4
1432,2004,67,9
2510,2004,67,5
2515,2004,67,9
2510,2003,67,5
2515,2003,67,6
2930,2003,67,2
2510,2018,67,4
2515,2018,67,4
2517,2018,67,5
2510,2001,67,4
2510,1978,67,2
2510,2014,67,2
2515,2014,67,3
2517,2014,67,3
2510,1997,67,5
1434,1996,67,7
1435,1996,67,4
2510,1996,67,3
2515,1996,67,4
322,1997,55,1
1185,1814,67,1
1220,1814,67,1
1418,1814,67,2
1431,1992,67,1
251,1992,67,1
253,1992,67,4
254,1974,67,2
255,1974,67,4
2560,1992,67,1
2565,2004,67,4
261,1992,67,2
2910,1992,67,1
2940,2004,67,4
2940,1814,67,3
3,1992,67,3
355,1992,67,1
361,1999,67,1
6,1992,67,1
81BIS,1992,67,2
1180,2005,67,3
1432,2005,67,12
251,1977,67,1
255,1971,67,2
2560,2005,67,9
2910,1814,67,13
2920,2005,67,21
2925,2005,67,12
33BIS,1977,67,1
405,1977,67,1
406,1977,67,1
68,1968,67,1
2510,2002,67,7
2510,2009,67,4
2515,2009,67,5
2510,2007,67,3
2515,2007,67,3
2517,2007,67,3
2510,2006,67,6
2515,2006,67,3
2510,1973,67,3
2515,2001,67,8
2510,2010,67,1
2517,2010,67,4
2910,2004,67,9
2510,2013,67,1
2510,2015,67,1
2515,2015,67,2
2517,2015,67,1
2510,2008,67,6
2515,2012,67,2
2251,1994,51,2
2510,1971,67,1
2510,2017,67,2
2510,1995,67,2
2510,2016,67,1
2510,1975,67,4
2517,2004,67,3
1432,2008,67,9
1434,2008,67,5
1435,2008,67,1
2515,2008,67,6
2517,2008,67,2
286,1997,67,5
2930,1997,67,2
98BIS,1997,67,2
2251,2003,51,1
2251,2016,51,4
2510,1972,67,3
2515,1997,67,5
2510,1982,67,1
1434,2004,67,10
1520,2001,67,2
2521,1814,67,1
2915,1814,67,2
2920,1814,67,4
2930,2004,67,1
2510,1979,67,1
2515,2002,67,6
2920,2002,67,11
2920,2001,67,8
1432,2014,67,3
2910,2014,67,10
2925,2014,67,4
2101,2014,79,1
2510,2019,67,2
2515,1991,67,1
2517,1991,67,1
1311,1984,67,1
2510,1989,67,1
2510,1999,67,2
2515,1999,67,3
2510,2020,67,2
2510,1994,67,2
1412,2005,67,4
1434,2005,67,8
286,2005,67,4
2940,2005,67,9
2712,1985,67,1
286,1985,67,2
322,1979,67,1
2102,2019,79,1
2510,2000,67,1
2920,2000,67,13
2565,2014,67,2
2940,2014,67,5
1432,2010,67,6
1434,2010,67,3
1435,2018,67,2
1435,2010,67,5
1720,1814,67,2
211,1814,67,2
2560,1814,67,3
2560,2018,67,1
2661,2010,67,2
2661,2017,67,5
2662,2010,67,5
2910,1997,67,10
2920,2010,67,16
2940,2018,67,4
4718,2018,67,2
4802,2018,67,2
211,1999,67,3
2565,2005,67,6
1180,2000,67,8
1185,2000,67,2
1220,2000,67,2
1416,2007,67,5
1432,2007,67,6
1715,2007,67,2
1720,2000,67,2
1720,2005,67,4
211BIS,1966,67,1
251,1976,67,1
253,1993,67,6
254,1976,67,2
2560,2007,67,10
2561,2007,67,2
2565,2007,67,13
2567,2007,67,2
258,1976,67,1
261,1993,67,1
272,1976,67,1
2910,2007,67,17
2920,2007,67,23
2925,2007,67,8
2940,2007,67,14
1418,2005,67,5
153BIS,1814,67,1
1BIS,1993,67,2
251,1993,67,2
2561,2005,67,2
2575,2005,67,4
272,1993,67,3
281,1993,67,1
282,1993,67,2
284,1993,67,1
285,1993,67,1
288,1993,67,1
2910,2005,67,8
2921,2005,67,36
3,1993,67,3
361,1993,67,5
405,1993,67,4
406,1993,67,3
1432,2001,67,3
1520,1998,67,2
253,1998,67,10
2910,1998,67,13
2910,2001,67,6
4734,2001,67,1
1530,1999,67,2
1530,2004,67,3
167,1999,67,3
167,2004,67,3
2260,1999,67,5
2260,2004,67,5
